프로젝트 명,엔드포인트 URL,엔드포인트 클래스,엔드포인트 메소드,사용 프로젝트 명,클래스,메소드(라인),메소드 분석,HTTP,엔드포인트 정의 위치,사용 파일,사용 라인,매칭 유형,신뢰도,소스 라인,endpoint_id
FinUp.Auth.Api,api/auth/refresh,AuthController,GetAuthRefresh,FinUp.Stock.App.AlphaBot,ProcessUnit,AuthRefreshHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3447),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:192,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3447,exact,High,", ""https://apiauth.finup.co.kr/api/auth/refresh""",7
FinUp.Auth.Api,api/auth/refresh,AuthController,GetAuthRefresh,FinUp.Stock.Mentor,View/Markup,View/Markup 영역 (FinUp.Stock.Mentor/Chat/ChatRoom.aspx:85),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",POST,FinUp.Auth.Api/Controllers/AuthController.cs:192,FinUp.Stock.Mentor/Chat/ChatRoom.aspx,85,exact,High,"var vRefreshUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiAuthPath""] %>"" + ""/api/auth/refresh"";",7
FinUp.Auth.Api,api/check/health,CheckController,Check,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3358),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Auth.Api/Controllers/CheckController.cs:12,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3358,exact,High,", ""http://stockdata01.finup.co.kr/api/check/health""",9
FinUp.Auth.Api,api/check/health,CheckController,Check,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3359),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Auth.Api/Controllers/CheckController.cs:12,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3359,exact,High,", ""http://stockdata02.finup.co.kr/api/check/health""",9
FinUp.Chat.Api,api/app/chat,AppController,ChatNoneAuth,FinUp.Chat.Web,Config,설정/상수 영역 (FinUp.Chat.Web/appsettings.json:24),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:41,FinUp.Chat.Web/appsettings.json,24,exact,High,"""ChatApiUrl"": ""https://pre-apichat.finup.co.kr/api/app/chat"",",11
FinUp.Chat.Api,api/app/chat,AppController,ChatNoneAuth,FinUp.General.Admin,UserDetailSubscribeList.aspx,RemoveChatCache (FinUp.General.Admin/Member/UserDetail/UserDetailSubscribeList.aspx.cs:1231),"서버-side HTTP 호출 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:41,FinUp.General.Admin/Member/UserDetail/UserDetailSubscribeList.aspx.cs,1231,exact,High,"string apiResult = NetUtil.GetHttpRequest($""{StockPointApi}/api/app/chat/subscribecancel/{_UserIdx}/{ChatIdx}"", new Dictionary<string, string>());",11
FinUp.Chat.Api,api/app/chat,AppController,ChatNoneAuth,FinUp.Stock.Admin,View/Markup,View/Markup 영역 (Finup.Stock.Admin/Chat/ChatRoom.aspx:79),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:41,Finup.Stock.Admin/Chat/ChatRoom.aspx,79,exact,High,"var vPostUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiPath""] %>"" + ""/api/app/chat/auth"";",11
FinUp.Chat.Api,api/app/chat,AppController,ChatNoneAuth,FinUp.Stock.Admin,View/Markup,View/Markup 영역 (Finup.Stock.Admin/Chat/ChatRoom.aspx:84),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:41,Finup.Stock.Admin/Chat/ChatRoom.aspx,84,exact,High,"var vFileUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiPath""] %>"" + ""/api/app/chat/fileupload"";",11
FinUp.Chat.Api,api/app/chat,AppController,ChatNoneAuth,FinUp.Stock.Mentor,View/Markup,View/Markup 영역 (FinUp.Stock.Mentor/Chat/ChatRoom.aspx:83),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:41,FinUp.Stock.Mentor/Chat/ChatRoom.aspx,83,exact,High,"var vPostUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiPath""] %>"" + ""/api/app/chat/auth"";",11
FinUp.Chat.Api,api/app/chat,AppController,ChatNoneAuth,FinUp.Stock.Mentor,View/Markup,View/Markup 영역 (FinUp.Stock.Mentor/Chat/ChatRoom.aspx:88),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:41,FinUp.Stock.Mentor/Chat/ChatRoom.aspx,88,exact,High,"var vFileUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiPath""] %>"" + ""/api/app/chat/fileupload"";",11
FinUp.Chat.Api,api/app/chat,AppController,ChatNoneAuth,FinUp.Stock.MobileWeb,InsightStockView.aspx,btnVideoJoinAction_Click (FinUp.Stock.MobileWeb/Insight/InsightStockView.aspx.cs:1118),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:41,FinUp.Stock.MobileWeb/Insight/InsightStockView.aspx.cs,1118,exact,High,"//							string.Format(""{0}/api/app/chat/subscribe/{1}/{2}"", StockPointAPIUrl, this.LoginUserIdx, this.CIdx)",11
FinUp.Chat.Api,api/app/chat,AppController,ChatNoneAuth,FinUp.Stock.MobileWeb,BackupLeadingView.aspx,btnJoinChat_ServerClick (FinUp.Stock.MobileWeb/Leading/BackupLeadingView.aspx.cs:1472),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:41,FinUp.Stock.MobileWeb/Leading/BackupLeadingView.aspx.cs,1472,exact,High,"string.Format(""{0}/api/app/chat/subscribe/{1}/{2}"", this.StockPointAPIUrl, this.LoginUserIdx, this.CIdx)",11
FinUp.Chat.Api,api/app/chat,AppController,ChatNoneAuth,FinUp.Stock.Web,BackUpLeadingView.aspx,btnJoinChat_ServerClick (FinUp.Stock.Web/Leading/BackUpLeadingView.aspx.cs:1505),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:41,FinUp.Stock.Web/Leading/BackUpLeadingView.aspx.cs,1505,exact,High,"string.Format(""{0}/api/app/chat/subscribe/{1}/{2}"", this.StockPointAPIUrl, this.LoginUserIdx, this.CIdx)",11
FinUp.Chat.Api,api/app/chat,AppController,ChatNoneAuth,FinUp.StockData.ChartCapture.App,Config,설정/상수 영역 (FinUp.StockData.ChartCapture.App/App.config:23),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:41,FinUp.StockData.ChartCapture.App/App.config,23,exact,High,"<add key=""CacheloadUrl"" value=""https://pre-apichat.finup.co.kr/api/app/chat/cacheload"" />",11
FinUp.Chat.Api,api/app/chat/auth,AppController,ChatAuth,FinUp.Stock.Admin,View/Markup,View/Markup 영역 (Finup.Stock.Admin/Chat/ChatRoom.aspx:79),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:109,Finup.Stock.Admin/Chat/ChatRoom.aspx,79,exact,High,"var vPostUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiPath""] %>"" + ""/api/app/chat/auth"";",13
FinUp.Chat.Api,api/app/chat/auth,AppController,ChatAuth,FinUp.Stock.Mentor,View/Markup,View/Markup 영역 (FinUp.Stock.Mentor/Chat/ChatRoom.aspx:83),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:109,FinUp.Stock.Mentor/Chat/ChatRoom.aspx,83,exact,High,"var vPostUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiPath""] %>"" + ""/api/app/chat/auth"";",13
FinUp.Chat.Api,api/app/chat/cacheload,AppController,ChatCacheReload,FinUp.StockData.ChartCapture.App,Config,설정/상수 영역 (FinUp.StockData.ChartCapture.App/App.config:23),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.Api/Controllers/AppController.Chat.cs:710,FinUp.StockData.ChartCapture.App/App.config,23,exact,High,"<add key=""CacheloadUrl"" value=""https://pre-apichat.finup.co.kr/api/app/chat/cacheload"" />",19
FinUp.Chat.Api,api/app/chat/cacheload,AppController,ChatCacheReloadChat,FinUp.StockData.ChartCapture.App,Config,설정/상수 영역 (FinUp.StockData.ChartCapture.App/App.config:23),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.Api/Controllers/AppController.Chat.cs:733,FinUp.StockData.ChartCapture.App/App.config,23,exact,High,"<add key=""CacheloadUrl"" value=""https://pre-apichat.finup.co.kr/api/app/chat/cacheload"" />",20
FinUp.Chat.Api,api/app/chat/fileupload,AppController,FileUpload,FinUp.Stock.Admin,View/Markup,View/Markup 영역 (Finup.Stock.Admin/Chat/ChatRoom.aspx:84),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:484,Finup.Stock.Admin/Chat/ChatRoom.aspx,84,exact,High,"var vFileUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiPath""] %>"" + ""/api/app/chat/fileupload"";",27
FinUp.Chat.Api,api/app/chat/fileupload,AppController,FileUpload,FinUp.Stock.Mentor,View/Markup,View/Markup 영역 (FinUp.Stock.Mentor/Chat/ChatRoom.aspx:88),"설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",(unspecified),FinUp.Chat.Api/Controllers/AppController.Chat.cs:484,FinUp.Stock.Mentor/Chat/ChatRoom.aspx,88,exact,High,"var vFileUrl = ""<%= System.Configuration.ConfigurationManager.AppSettings[""ApiPath""] %>"" + ""/api/app/chat/fileupload"";",27
FinUp.Chat.Api,api/app/chat/subscribe/{userIdx}/{cIdx},AppController,AddSubscribe,FinUp.Stock.MobileWeb,InsightStockView.aspx,btnVideoJoinAction_Click (FinUp.Stock.MobileWeb/Insight/InsightStockView.aspx.cs:1118),"설정/상수 URL 후보. 매칭=CSV 파라미터 URL의 고정 구간 순차 매칭, 신뢰도=Medium.",GET,FinUp.Chat.Api/Controllers/AppController.Chat.cs:987,FinUp.Stock.MobileWeb/Insight/InsightStockView.aspx.cs,1118,param-literals,Medium,"//							string.Format(""{0}/api/app/chat/subscribe/{1}/{2}"", StockPointAPIUrl, this.LoginUserIdx, this.CIdx)",35
FinUp.Chat.Api,api/app/chat/subscribe/{userIdx}/{cIdx},AppController,AddSubscribe,FinUp.Stock.MobileWeb,BackupLeadingView.aspx,btnJoinChat_ServerClick (FinUp.Stock.MobileWeb/Leading/BackupLeadingView.aspx.cs:1472),"설정/상수 URL 후보. 매칭=CSV 파라미터 URL의 고정 구간 순차 매칭, 신뢰도=Medium.",GET,FinUp.Chat.Api/Controllers/AppController.Chat.cs:987,FinUp.Stock.MobileWeb/Leading/BackupLeadingView.aspx.cs,1472,param-literals,Medium,"string.Format(""{0}/api/app/chat/subscribe/{1}/{2}"", this.StockPointAPIUrl, this.LoginUserIdx, this.CIdx)",35
FinUp.Chat.Api,api/app/chat/subscribe/{userIdx}/{cIdx},AppController,AddSubscribe,FinUp.Stock.Web,BackUpLeadingView.aspx,btnJoinChat_ServerClick (FinUp.Stock.Web/Leading/BackUpLeadingView.aspx.cs:1505),"설정/상수 URL 후보. 매칭=CSV 파라미터 URL의 고정 구간 순차 매칭, 신뢰도=Medium.",GET,FinUp.Chat.Api/Controllers/AppController.Chat.cs:987,FinUp.Stock.Web/Leading/BackUpLeadingView.aspx.cs,1505,param-literals,Medium,"string.Format(""{0}/api/app/chat/subscribe/{1}/{2}"", this.StockPointAPIUrl, this.LoginUserIdx, this.CIdx)",35
FinUp.Chat.Api,api/app/chat/subscribecancel/{userIdx}/{chatIdx},AppController,CacnelSubscribe,FinUp.General.Admin,UserDetailSubscribeList.aspx,RemoveChatCache (FinUp.General.Admin/Member/UserDetail/UserDetailSubscribeList.aspx.cs:1231),"서버-side HTTP 호출 후보. 매칭=CSV 파라미터 URL의 고정 구간 순차 매칭, 신뢰도=Medium.",GET,FinUp.Chat.Api/Controllers/AppController.Chat.cs:997,FinUp.General.Admin/Member/UserDetail/UserDetailSubscribeList.aspx.cs,1231,param-literals,Medium,"string apiResult = NetUtil.GetHttpRequest($""{StockPointApi}/api/app/chat/subscribecancel/{_UserIdx}/{ChatIdx}"", new Dictionary<string, string>());",36
FinUp.Chat.Api,api/check/health,CheckController,HealthCheck,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3358),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.Api/Controllers/CheckController.cs:11,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3358,exact,High,", ""http://stockdata01.finup.co.kr/api/check/health""",40
FinUp.Chat.Api,api/check/health,CheckController,HealthCheck,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3359),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.Api/Controllers/CheckController.cs:11,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3359,exact,High,", ""http://stockdata02.finup.co.kr/api/check/health""",40
FinUp.Chat.Api,api/room/refresh/{chatIdx},RoomController,RefreshChatRoomAsync,FinUp.Stock.Admin,FeatureChatRoom.aspx,메소드 식별 필요 (Finup.Stock.Admin/Feature/FeatureChatRoom.aspx.cs:586),"설정/상수 URL 후보. 매칭=CSV 파라미터 URL의 고정 구간 순차 매칭, 신뢰도=Medium.",GET,FinUp.Chat.Api/Controllers/RoomController.cs:15,Finup.Stock.Admin/Feature/FeatureChatRoom.aspx.cs,586,param-literals,Medium,"string.Format(""{0}/api/room/refresh/{1}"", this.StockPointAPIUrl, this.ChatIdx)",45
FinUp.Chat.Api.Badge,api/check/health,CheckController,Check,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3358),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.Api.Badge/Controllers/CheckController.cs:15,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3358,exact,High,", ""http://stockdata01.finup.co.kr/api/check/health""",48
FinUp.Chat.Api.Badge,api/check/health,CheckController,Check,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3359),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.Api.Badge/Controllers/CheckController.cs:15,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3359,exact,High,", ""http://stockdata02.finup.co.kr/api/check/health""",48
FinUp.Chat.NET.Api,api/Check,CheckController,CheckDB,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3354),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.NET.Api/Controllers/CheckController.cs:21,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3354,exact,High,"""http://chatapi01.finup.co.kr/api/check""",54
FinUp.Chat.NET.Api,api/Check,CheckController,CheckDB,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3355),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.NET.Api/Controllers/CheckController.cs:21,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3355,exact,High,"//, ""http://chatapi02.finup.co.kr/api/check""",54
FinUp.Chat.NET.Api,api/Check,CheckController,CheckDB,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3356),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.NET.Api/Controllers/CheckController.cs:21,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3356,exact,High,", ""https://chatbadgeapi.finup.co.kr/api/check""",54
FinUp.Chat.NET.Api,api/Check,CheckController,CheckDB,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3357),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.NET.Api/Controllers/CheckController.cs:21,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3357,exact,High,", ""https://chatpushapi.finup.co.kr/api/check""",54
FinUp.Chat.NET.Api,api/Check,CheckController,CheckDB,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3358),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.NET.Api/Controllers/CheckController.cs:21,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3358,exact,High,", ""http://stockdata01.finup.co.kr/api/check/health""",54
FinUp.Chat.NET.Api,api/Check,CheckController,CheckDB,FinUp.Stock.App.AlphaBot,ProcessUnit,ApiSiteHealthCheck (FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs:3359),"문자열/경로 참조 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.NET.Api/Controllers/CheckController.cs:21,FinUp.Stock.App.AlphaBot/Operation/ProcessUnit.cs,3359,exact,High,", ""http://stockdata02.finup.co.kr/api/check/health""",54
FinUp.Chat.NET.Api,api/v1.2/Common,CommonController,GetAsync,Finup.Chat.NET.Blazor.Core,ChatApi,RequestCommonInfo (Finup.Chat.NET.Blazor.Core/Protocols/ChatApi.cs:508),"서버-side HTTP 호출 후보; 설정/상수 URL 후보. 매칭=CSV URL과 동일한 정적 문자열, 신뢰도=High.",GET,FinUp.Chat.NET.Api/Controllers/v1_2/CommonController.cs:39,Finup.Chat.NET.Blazor.Core/Protocols/ChatApi.cs,508,exact,High,"using var repHttpMsg = await _httpClient.GetAsync($""{ApiUrl}/api/v1.2/common"");",136
FinUp.Chat.NET.Api,api/v1.2/users/{targetuseridx}/report/count:target,UserReportController,GetTargetUserReportCountAsync,FinUp.General,FUApi.ChatApi,ChatUserReportCount (FinUp.General/FUApi.ChatApi.cs:667),"설정/상수 URL 후보. 매칭=CSV 파라미터 URL의 고정 구간 순차 매칭, 신뢰도=Medium.",GET,FinUp.Chat.NET.Api/Controllers/v1_2/UserReportController.cs:79,FinUp.General/FUApi.ChatApi.cs,667,param-literals,Medium,", url: string.Format(""{0}/api/v1.2/users/{1}/report/count:target"", ChatApiUrl, ChatUserIdx)",137
FinUp.Chat.NET.Api,api/v1.2/users/{targetuseridx}/report:target,UserReportController,GetPageAsync,FinUp.General,FUApi.ChatApi,ChatUserReportList (FinUp.General/FUApi.ChatApi.cs:708),"설정/상수 URL 후보. 매칭=CSV 파라미터 URL의 고정 구간 순차 매칭, 신뢰도=Medium.",GET,FinUp.Chat.NET.Api/Controllers/v1_2/UserReportController.cs:52,FinUp.General/FUApi.ChatApi.cs,708,param-literals,Medium,", url: string.Format(""{0}/api/v1.2/users/{1}/report:target"", ChatApiUrl, ChatUserIdx)",138
FinUp.Chat.NET.Api,api/v1.2/users/{useridx}/ban,UserBanController,GetUserBanListAsync,FinUp.General,FUApi.ChatApi,ChatApiCancelUserBan (FinUp.General/FUApi.ChatApi.cs:625),"설정/상수 URL 후보. 매칭=CSV 파라미터 URL의 고정 구간 순차 매칭, 신뢰도=Medium.",GET,FinUp.Chat.NET.Api/Controllers/v1_2/UserBanController.cs:64,FinUp.General/FUApi.ChatApi.cs,625,param-literals,Medium,", url: string.Format(""{0}/api/v1.2/users/{1}/ban/{2}?reason={3}"", ChatApiUrl, ChatUserIdx, UserBanIdx, CancelReason)",139
